creek,location,biorep,monthyear,sample,qubit
Portage,down,1,321,Portage.down.1.321,2.44
Portage,down,2,321,Portage.down.2.321,2.62
Portage,down,3,321,Portage.down.3.321,3.16
Portage,up,1,321,Portage.up.1.321,2.87
Portage,up,2,321,Portage.up.2.321,2.65
Portage,up,3,321,Portage.up.3.321,2.33
Squalicum,down,1,321,Squalicum.down.1.321,7.1
Squalicum,down,2,321,Squalicum.down.2.321,3.49
Squalicum,down,3,321,Squalicum.down.3.321,4.31
Squalicum,up,1,321,Squalicum.up.1.321,6.56
Squalicum,up,2,321,Squalicum.up.2.321,5.01
Squalicum,up,3,321,Squalicum.up.3.321,3.64
Padden,down,1,321,Padden.down.1.321,10.7
Padden,down,2,321,Padden.down.2.321,11.6
Padden,down,3,321,Padden.down.3.321,7.61
Padden,up11,1,321,Padden.up11.1.321,3.4
Padden,up11,2,321,Padden.up11.2.321,4.03
Padden,up11,3,321,Padden.up11.3.321,4.28
Padden,up5,1,321,Padden.up5.1.321,2.29
Padden,up5,2,321,Padden.up5.2.321,3.29
Padden,up5,3,321,Padden.up5.3.321,3.81
Chuckanut,down,1,321,Chuckanut.down.1.321,1.35
Chuckanut,down,2,321,Chuckanut.down.2.321,0.774
Chuckanut,down,3,321,Chuckanut.down.3.321,0.744
Chuckanut,up,1,321,Chuckanut.up.1.321,0.975
Chuckanut,up,2,321,Chuckanut.up.2.321,0.784
Chuckanut,up,3,321,Chuckanut.up.3.321,0.843
Barnes,down,1,321,Barnes.down.1.321,0.836
Barnes,down,2,321,Barnes.down.2.321,0.536
Barnes,down,3,321,Barnes.down.3.321,0.575
Barnes,up,1,321,Barnes.up.1.321,2.5
Barnes,up,2,321,Barnes.up.2.321,4.76
Barnes,up,3,321,Barnes.up.3.321,2.81
Portage,down,1,421,Portage.down.1.421,2.63
Portage,down,2,421,Portage.down.2.421,2.35
Portage,down,3,421,Portage.down.3.421,3.02
Portage,up,1,421,Portage.up.1.421,4.64
Portage,up,2,421,Portage.up.2.421,4.24
Portage,up,3,421,Portage.up.3.421,4.38
Barnes,down,1,421,Barnes.down.1.421,0.686
Barnes,down,2,421,Barnes.down.2.421,0.175
Barnes,down,3,421,Barnes.down.3.421,2.71
Barnes,up,1,421,Barnes.up.1.421,1.04
Barnes,up,2,421,Barnes.up.2.421,3.46
Barnes,up,3,421,Barnes.up.3.421,2.96
Chuckanut,down,1,421,Chuckanut.down.1.421,3.11
Chuckanut,down,2,421,Chuckanut.down.2.421,0.513
Chuckanut,down,3,421,Chuckanut.down.3.421,2.13
Chuckanut,up,1,421,Chuckanut.up.1.421,1.91
Chuckanut,up,2,421,Chuckanut.up.2.421,0.866
Chuckanut,up,3,421,Chuckanut.up.3.421,1.58
Padden,down,1,421,Padden.down.1.421,14
Padden,down,2,421,Padden.down.2.421,30.8
Padden,down,3,421,Padden.down.3.421,35.2
Padden,up11,1,421,Padden.up11.1.421,22.7
Padden,up11,2,421,Padden.up11.2.421,13.7
Padden,up11,3,421,Padden.up11.3.421,12.2
Padden,up5,1,421,Padden.up5.1.421,17.1
Padden,up5,2,421,Padden.up5.2.421,22.1
Padden,up5,3,421,Padden.up5.3.421,27.5
Squalicum,down,1,421,Squalicum.down.1.421,6.78
Squalicum,down,2,421,Squalicum.down.2.421,4.3
Squalicum,down,3,421,Squalicum.down.3.421,6.51
Squalicum,up,1,421,Squalicum.up.1.421,7.41
Squalicum,up,2,421,Squalicum.up.2.421,6.32
Squalicum,up,3,421,Squalicum.up.3.421,6.49
Portage,down,1,521,Portage.down.1.521,0.755
Portage,down,2,521,Portage.down.2.521,3.72
Portage,down,3,521,Portage.down.3.521,3.41
Portage,up,1,521,Portage.up.1.521,0.701
Portage,up,2,521,Portage.up.2.521,4.79
Portage,up,3,521,Portage.up.3.521,4.48
Barnes,down,1,521,Barnes.down.1.521,14.5
Barnes,down,2,521,Barnes.down.2.521,1.44
Barnes,down,3,521,Barnes.down.3.521,2.27
Barnes,up,1,521,Barnes.up.1.521,1.62
Barnes,up,2,521,Barnes.up.2.521,2.56
Barnes,up,3,521,Barnes.up.3.521,3.39
Chuckanut,down,1,521,Chuckanut.down.1.521,0.789
Chuckanut,down,2,521,Chuckanut.down.2.521,1.12
Chuckanut,down,3,521,Chuckanut.down.3.521,1.49
Chuckanut,up,1,521,Chuckanut.up.1.521,0.638
Chuckanut,up,2,521,Chuckanut.up.2.521,1.19
Chuckanut,up,3,521,Chuckanut.up.3.521,0.932
Padden,down,1,521,Padden.down.1.521,19.1
Padden,down,2,521,Padden.down.2.521,16.1
Padden,down,3,521,Padden.down.3.521,16.9
Padden,up11,1,521,Padden.up11.1.521,0.593
Padden,up11,2,521,Padden.up11.2.521,11.4
Padden,up11,3,521,Padden.up11.3.521,10.1
Padden,up5,1,521,Padden.up5.1.521,10.7
Padden,up5,2,521,Padden.up5.2.521,1.21
Padden,up5,3,521,Padden.up5.3.521,13.3
Squalicum,down,1,521,Squalicum.down.1.521,0.96
Squalicum,down,2,521,Squalicum.down.2.521,1.63
Squalicum,down,3,521,Squalicum.down.3.521,2.41
Squalicum,up,1,521,Squalicum.up.1.521,1.86
Squalicum,up,2,521,Squalicum.up.2.521,1.3
Squalicum,up,3,521,Squalicum.up.3.521,1.83
Portage,down,1,621,Portage.down.1.621,2.59
Portage,down,2,621,Portage.down.2.621,2.36
Portage,down,3,621,Portage.down.3.621,2.78
Portage,up,1,621,Portage.up.1.621,1.55
Portage,up,2,621,Portage.up.2.621,3.49
Portage,up,3,621,Portage.up.3.621,1.71
Barnes,down,1,621,Barnes.down.1.621,13.2
Barnes,down,2,621,Barnes.down.2.621,9.14
Barnes,down,3,621,Barnes.down.3.621,15.2
Barnes,up,1,621,Barnes.up.1.621,5.65
Barnes,up,2,621,Barnes.up.2.621,4.65
Barnes,up,3,621,Barnes.up.3.621,0.927
Chuckanut,down,1,621,Chuckanut.down.1.621,1.82
Chuckanut,down,2,621,Chuckanut.down.2.621,3.21
Chuckanut,down,3,621,Chuckanut.down.3.621,3.04
Chuckanut,up,1,621,Chuckanut.up.1.621,1.61
Chuckanut,up,2,621,Chuckanut.up.2.621,1.77
Chuckanut,up,3,621,Chuckanut.up.3.621,1.81
Padden,down,1,621,Padden.down.1.621,2.72
Padden,down,2,621,Padden.down.2.621,2.74
Padden,down,3,621,Padden.down.3.621,1.22
Padden,up11,1,621,Padden.up11.1.621,0.187
Padden,up11,2,621,Padden.up11.2.621,2.28
Padden,up11,3,621,Padden.up11.3.621,6.55
Padden,up5,1,621,Padden.up5.1.621,3.29
Padden,up5,2,621,Padden.up5.2.621,4.94
Padden,up5,3,621,Padden.up5.3.621,6.28
Squalicum,down,1,621,Squalicum.down.1.621,3.06
Squalicum,down,2,621,Squalicum.down.2.621,1.9
Squalicum,down,3,621,Squalicum.down.3.621,2.93
Squalicum,up,1,621,Squalicum.up.1.621,2.56
Squalicum,up,2,621,Squalicum.up.2.621,2.94
Squalicum,up,3,621,Squalicum.up.3.621,2.98
Padden,down,3,321,Padden.down.3.321,13
Barnes,up,2,321,Barnes.up.2.321,4.22
Portage,down,1,721,Portage.down.1.721,3
Portage,down,2,721,Portage.down.2.721,2.64
Portage,down,3,721,Portage.down.3.721,2.76
Portage,up,1,721,Portage.up.1.721,6.09
Portage,up,2,721,Portage.up.2.721,3.6
Portage,up,3,721,Portage.up.3.721,6.96
Barnes,down,1,721,Barnes.down.1.721,18.8
Barnes,down,2,721,Barnes.down.2.721,17.8
Barnes,down,3,721,Barnes.down.3.721,28.4
Barnes,up,1,721,Barnes.up.1.721,2.55
Barnes,up,2,721,Barnes.up.2.721,2.57
Barnes,up,3,721,Barnes.up.3.721,2.59
Chuckanut,down,1,721,Chuckanut.down.1.721,2.45
Chuckanut,down,2,721,Chuckanut.down.2.721,2.53
Chuckanut,down,3,721,Chuckanut.down.3.721,2.69
Chuckanut,up,1,721,Chuckanut.up.1.721,1.54
Chuckanut,up,2,721,Chuckanut.up.2.721,1.72
Chuckanut,up,3,721,Chuckanut.up.3.721,4.13
Padden,down,1,721,Padden.down.1.721,11.1
Padden,down,2,721,Padden.down.2.721,17
Padden,down,3,721,Padden.down.3.721,4.45
Padden,up11,1,721,Padden.up11.1.721,0.909
Padden,up11,2,721,Padden.up11.2.721,28.3
Padden,up11,3,721,Padden.up11.3.721,1.72
Padden,up5,1,721,Padden.up5.1.721,1.96
Padden,up5,2,721,Padden.up5.2.721,8.51
Padden,up5,3,721,Padden.up5.3.721,16.2
Squalicum,down,1,721,Squalicum.down.1.721,30
Squalicum,down,2,721,Squalicum.down.2.721,23.4
Squalicum,down,3,721,Squalicum.down.3.721,40.1
Squalicum,up,1,721,Squalicum.up.1.721,49.3
Squalicum,up,2,721,Squalicum.up.2.721,51
Squalicum,up,3,721,Squalicum.up.3.721,50
Portage,down,1,821,Portage.down.1.821,3.61
Portage,down,2,821,Portage.down.2.821,3.77
Portage,down,3,821,Portage.down.3.821,4.06
Portage,up,1,821,Portage.up.1.821,7.65
Portage,up,2,821,Portage.up.2.821,5.9
Portage,up,3,821,Portage.up.3.821,5.28
Barnes,down,1,821,Barnes.down.1.821,0.986
Barnes,down,2,821,Barnes.down.2.821,3.4
Barnes,down,3,821,Barnes.down.3.821,1.92
Barnes,up,1,821,Barnes.up.1.821,0.378
Barnes,up,2,821,Barnes.up.2.821,3.23
Barnes,up,3,821,Barnes.up.3.821,3.07
Chuckanut,down,1,821,Chuckanut.down.1.821,0.859
Chuckanut,down,2,821,Chuckanut.down.2.821,0.773
Chuckanut,down,3,821,Chuckanut.down.3.821,0.053
Chuckanut,up,1,821,Chuckanut.up.1.821,4.42
Chuckanut,up,2,821,Chuckanut.up.2.821,6.33
Chuckanut,up,3,821,Chuckanut.up.3.821,6.6
Padden,down,1,821,Padden.down.1.821,41
Padden,down,2,821,Padden.down.2.821,21.4
Padden,down,3,821,Padden.down.3.821,19.3
Padden,up11,1,821,Padden.up11.1.821,1.79
Padden,up11,2,821,Padden.up11.2.821,0.995
Padden,up11,3,821,Padden.up11.3.821,7.01
Padden,up5,1,821,Padden.up5.1.821,1.07
Padden,up5,2,821,Padden.up5.2.821,0.55
Padden,up5,3,821,Padden.up5.3.821,1.47
Squalicum,down,1,821,Squalicum.down.1.821,55
Squalicum,down,2,821,Squalicum.down.2.821,50
Squalicum,down,3,821,Squalicum.down.3.821,46.4
Squalicum,up,1,821,Squalicum.up.1.821,27.4
Squalicum,up,2,821,Squalicum.up.2.821,23
Squalicum,up,3,821,Squalicum.up.3.821,30.9
Chuckanut,down,1,321,Chuckanut.down.1.321,5.8
Chuckanut,down,2,321,Chuckanut.down.2.321,8.14
Chuckanut,down,3,321,Chuckanut.down.3.321,8.56
Padden,down,1,321,Padden.down.1.321,0.731
Padden,down,2,321,Padden.down.2.321,0.64
Padden,down,3,321,Padden.down.3.321,0.84