"","COI.0421.2Brn.Up.1","COI.0421.2Brn.Up.3","COI.0421.3Chk.Dn.1","COI.0421.4Pad.Up11.3","COI.0421.5Sqm.Dn.2","COI.0421.5Sqm.Up.2","COI.0821.3Chk.Up.2","COI.0821.4Pad.Dn.1","COI.0821.4Pad.Up11.1","COI.0821.4Pad.Up5.2","COI.Kangaroo.Run.2"
"Metazoa__Arthropoda__Insecta__NA__NA__NA__NA__Taxon_203",0,0,3,0,0,0,0,0,0,0,0
"Viridiplantae__Chlorophyta__Chlorophyceae__Chlamydomonadales__NA__NA__NA__Taxon_204",0,0,2,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_205",0,0,2,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_206",0,0,2,0,0,0,0,0,0,0,0
"Metazoa__Arthropoda__Collembola__Poduromorpha__Hypogastruridae__Ceratophysella__Ceratophysella denticulata__Taxon_207",0,0,2,0,0,0,0,0,0,0,0
"Viridiplantae__Chlorophyta__Chlorophyceae__Chlamydomonadales__NA__NA__NA__Taxon_208",0,0,2,0,0,0,0,0,0,0,0
"Fungi__Ascomycota__Saccharomycetes__Saccharomycetales__Saccharomycetaceae__NA__NA__Taxon_209",0,0,2,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_210",0,0,2,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_211",0,0,2,0,0,0,0,0,0,0,0
"Metazoa__Annelida__Clitellata__Haplotaxida__NA__NA__NA__Taxon_212",0,0,2,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_213",0,0,2,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_214",0,0,2,0,0,0,0,0,0,0,0
"Metazoa__Cnidaria__Hydrozoa__Anthoathecata__Hydridae__Hydra__Hydra oligactis__Taxon_215",0,0,0,448,569,267,0,168,107,470,0
"Metazoa__Arthropoda__Insecta__Diptera__Simuliidae__NA__NA__Taxon_216",0,0,0,131,40,33,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_217",0,0,0,59,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_218",0,0,0,55,3,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_219",0,0,0,28,0,0,0,0,0,0,0
"Metazoa__Rotifera__Monogononta__Ploima__Synchaetidae__Synchaeta__NA__Taxon_220",0,0,0,51,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_221",0,0,0,2,0,9,0,15,0,6,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_222",0,0,0,7,0,3,18,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_223",0,0,0,19,0,0,8,0,0,7,0
"Metazoa__Rotifera__Monogononta__Ploima__NA__NA__NA__Taxon_224",0,0,0,13,0,0,0,0,0,0,0
"Metazoa__Cnidaria__Hydrozoa__Anthoathecata__Hydridae__Hydra__NA__Taxon_225",0,0,0,9,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_226",0,0,0,6,0,0,0,0,0,0,0
"Metazoa__Nematoda__Chromadorea__Rhabditida__Aphelenchoididae__NA__NA__Taxon_227",0,0,0,3,0,0,0,0,0,0,0
"Metazoa__Rotifera__Bdelloidea__NA__NA__NA__NA__Taxon_228",0,0,0,3,0,0,0,0,0,0,0
"Metazoa__Annelida__Clitellata__Haplotaxida__NA__NA__NA__Taxon_229",0,0,0,2,0,0,0,0,0,0,0
"Metazoa__Annelida__Clitellata__Haplotaxida__NA__NA__NA__Taxon_230",0,0,0,2,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_231",2,5,0,0,281,5,20,26,0,0,0
"Metazoa__Rotifera__Monogononta__Ploima__NA__NA__NA__Taxon_232",0,0,0,0,4,0,0,0,330,0,0
"Metazoa__Cnidaria__Hydrozoa__Anthoathecata__Hydridae__Hydra__Hydra vulgaris__Taxon_233",0,0,0,5,27,21,40,0,22,38,0
"Metazoa__Nematoda__Chromadorea__Rhabditida__Aphelenchoididae__NA__NA__Taxon_234",0,0,0,0,22,13,0,0,24,45,0
"Viridiplantae__Chlorophyta__Chlorophyceae__Chlamydomonadales__NA__NA__NA__Taxon_235",0,0,4,0,28,44,18,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_236",0,0,0,9,33,18,0,0,0,0,0
"Metazoa__Rotifera__Monogononta__Ploima__NA__NA__NA__Taxon_237",0,0,0,0,50,49,0,0,0,0,0
"Metazoa__Rotifera__Monogononta__Ploima__Brachionidae__Keratella__NA__Taxon_238",0,0,0,0,47,0,0,0,0,0,0
"Metazoa__Rotifera__Bdelloidea__NA__NA__NA__NA__Taxon_239",0,0,0,0,43,0,0,0,0,0,0
"Viridiplantae__Chlorophyta__Chlorophyceae__Chlamydomonadales__NA__NA__NA__Taxon_240",0,9,17,0,24,45,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_241",0,0,0,0,8,17,0,0,0,5,0
"Metazoa__Annelida__Clitellata__Haplotaxida__Lumbricidae__Aporrectodea__NA__Taxon_242",0,0,0,0,18,0,0,0,0,10,0
"Metazoa__Arthropoda__Insecta__Trichoptera__Hydropsychidae__Parapsyche__Parapsyche almota__Taxon_243",0,0,0,0,10,14,0,0,0,0,0
"Metazoa__Annelida__Clitellata__Haplotaxida__Naididae__NA__NA__Taxon_244",0,0,4,0,25,0,0,0,0,0,0
"Metazoa__Rotifera__Monogononta__Ploima__Synchaetidae__Polyarthra__Polyarthra dolichoptera__Taxon_245",0,0,0,0,18,0,0,0,0,0,0
"Metazoa__Nematoda__Chromadorea__NA__NA__NA__NA__Taxon_246",0,0,0,0,16,0,0,0,0,0,0
"Viridiplantae__Chlorophyta__Chlorophyceae__Chlamydomonadales__NA__NA__NA__Taxon_247",0,11,0,0,8,6,0,13,0,0,0
"Viridiplantae__Chlorophyta__Chlorophyceae__Chlamydomonadales__NA__NA__NA__Taxon_248",0,0,0,0,11,4,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_249",0,0,0,0,12,0,0,0,0,0,0
"Viridiplantae__Chlorophyta__Chlorophyceae__Chlamydomonadales__NA__NA__NA__Taxon_250",0,0,0,0,11,0,0,0,0,0,0
"Metazoa__Annelida__Clitellata__Haplotaxida__Lumbricidae__NA__NA__Taxon_251",0,0,0,0,11,0,0,0,0,0,0
"Viridiplantae__Chlorophyta__Chlorophyceae__Chlamydomonadales__NA__NA__NA__Taxon_252",0,0,0,0,11,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_253",7,0,2,0,10,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_254",0,0,4,0,7,3,0,0,0,0,0
"Metazoa__Arthropoda__Insecta__NA__NA__NA__NA__Taxon_255",0,0,0,0,9,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_256",0,0,0,0,8,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_257",0,0,0,0,8,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_258",0,0,0,0,8,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_259",0,0,0,0,8,0,0,0,0,0,0
"Metazoa__Arthropoda__Insecta__Trichoptera__Limnephilidae__Limnephilus__Limnephilus externus__Taxon_260",0,0,0,0,7,0,0,0,0,0,0
"Metazoa__Arthropoda__Hexanauplia__Calanoida__Diaptomidae__Skistodiaptomus__Skistodiaptomus pallidus__Taxon_261",0,0,0,0,7,0,0,0,0,0,0
"Fungi__NA__NA__NA__NA__NA__NA__Taxon_262",0,0,0,0,7,0,0,0,0,0,0
"Metazoa__Chordata__Amphibia__NA__NA__NA__NA__Taxon_263",0,0,0,0,7,0,0,0,0,0,0
"Metazoa__Nematoda__Chromadorea__NA__NA__NA__NA__Taxon_264",0,0,0,0,7,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_265",0,0,0,0,4,0,0,3,0,0,0
"Metazoa__Arthropoda__NA__NA__NA__NA__NA__Taxon_266",0,0,0,0,6,0,0,0,0,0,0
"Metazoa__Arthropoda__Insecta__Trichoptera__Hydropsychidae__Ceratopsyche__NA__Taxon_267",0,0,0,0,6,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_268",0,0,0,0,6,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_269",0,0,0,0,6,0,0,0,0,0,0
"Metazoa__Rotifera__Monogononta__Ploima__NA__NA__NA__Taxon_270",0,0,0,0,6,0,0,0,0,0,0
"Metazoa__Annelida__Clitellata__Haplotaxida__Naididae__Dero__Dero digitata__Taxon_271",0,0,0,0,4,0,0,2,0,0,0
"Metazoa__Chordata__Amphibia__Anura__NA__NA__NA__Taxon_272",0,0,0,0,5,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_273",0,0,0,0,5,0,0,0,0,0,0
"Metazoa__Rotifera__Monogononta__Ploima__NA__NA__NA__Taxon_274",0,0,0,0,5,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_275",0,0,0,0,5,0,0,0,0,0,0
"Metazoa__Arthropoda__Collembola__Entomobryomorpha__Isotomidae__Isotomurus__NA__Taxon_276",0,0,0,0,5,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_277",0,0,0,0,5,0,0,0,0,0,0
"Metazoa__Arthropoda__Insecta__Hymenoptera__Ichneumonidae__NA__NA__Taxon_278",0,0,0,0,4,0,0,0,0,0,0
"Metazoa__Annelida__Clitellata__Lumbriculida__Lumbriculidae__NA__NA__Taxon_279",0,0,0,0,4,0,0,0,0,0,0
"Metazoa__Chordata__Actinopteri__Cypriniformes__Cyprinidae__NA__NA__Taxon_280",0,0,0,0,4,0,0,0,0,0,0
"Metazoa__Annelida__Clitellata__Haplotaxida__Naididae__NA__NA__Taxon_281",0,0,0,0,3,0,0,0,0,0,0
"Metazoa__Arthropoda__Insecta__NA__NA__NA__NA__Taxon_282",0,0,0,0,3,0,0,0,0,0,0
"Metazoa__Arthropoda__Insecta__Coleoptera__Elateridae__NA__NA__Taxon_283",0,0,0,0,3,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_284",0,0,0,0,2,0,0,0,0,0,0
"Metazoa__Arthropoda__Insecta__Trichoptera__NA__NA__NA__Taxon_285",0,0,0,0,2,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_286",0,0,0,0,2,0,0,0,0,0,0
"Metazoa__Arthropoda__Insecta__Lepidoptera__Argyresthiidae__Argyresthia__Argyresthia goedartella__Taxon_287",0,0,0,0,2,0,0,0,0,0,0
"Metazoa__Platyhelminthes__NA__NA__NA__NA__NA__Taxon_288",0,0,0,0,2,0,0,0,0,0,0
"Metazoa__Arthropoda__Insecta__Diptera__Psychodidae__NA__NA__Taxon_289",0,0,0,0,2,0,0,0,0,0,0
"Metazoa__Nematoda__Chromadorea__Rhabditida__Meloidogynidae__Meloidogyne__Meloidogyne naasi__Taxon_290",0,0,0,0,0,170,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_291",0,0,0,0,0,168,0,0,0,0,0
"Viridiplantae__Chlorophyta__Chlorophyceae__Chlamydomonadales__NA__NA__NA__Taxon_292",0,0,18,0,35,49,7,353,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_293",0,0,0,0,0,55,0,0,0,0,0
"Metazoa__Rotifera__Monogononta__Ploima__Brachionidae__Keratella__NA__Taxon_294",0,0,0,0,0,42,0,0,0,0,0
"Metazoa__Rotifera__Monogononta__Ploima__NA__NA__NA__Taxon_295",0,0,0,0,0,22,0,0,0,0,0
"Metazoa__Arthropoda__Insecta__Trichoptera__Glossosomatidae__Glossosoma__Glossosoma penitus__Taxon_296",0,0,0,0,0,2,12,0,0,7,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_297",0,6,8,0,0,18,0,0,0,0,0
"Metazoa__Tardigrada__Eutardigrada__Parachela__NA__NA__NA__Taxon_298",0,0,0,0,0,15,0,0,0,0,0
"Viridiplantae__Chlorophyta__Chlorophyceae__Chlamydomonadales__NA__NA__NA__Taxon_299",0,0,0,0,0,14,0,0,0,0,0
"Metazoa__Rotifera__Monogononta__Ploima__NA__NA__NA__Taxon_300",0,0,0,2,0,20,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_301",0,0,0,0,0,13,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_302",0,0,0,0,0,12,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_303",0,0,0,0,0,12,0,0,0,0,0
"Metazoa__Annelida__Clitellata__Haplotaxida__Naididae__Nais__Nais variabilis__Taxon_304",0,0,0,0,0,6,0,0,0,5,0
"Metazoa__Nematoda__Chromadorea__Rhabditida__NA__NA__NA__Taxon_305",0,0,0,0,0,10,0,0,0,0,0
"Metazoa__Rotifera__Monogononta__Ploima__NA__NA__NA__Taxon_306",0,0,0,0,0,3,0,7,0,0,0
"Metazoa__Rotifera__Monogononta__Ploima__Brachionidae__Keratella__Keratella cochlearis__Taxon_307",0,0,0,0,0,8,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_308",0,0,0,0,0,7,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_309",0,0,0,0,5,2,0,0,5,0,0
"Viridiplantae__Chlorophyta__Chlorophyceae__Chlamydomonadales__NA__NA__NA__Taxon_310",0,0,4,0,0,8,0,0,0,0,0
"Viridiplantae__Chlorophyta__Chlorophyceae__Chlamydomonadales__NA__NA__NA__Taxon_311",0,0,5,0,0,6,0,0,0,0,0
"Metazoa__Mollusca__Gastropoda__NA__Lymnaeidae__NA__NA__Taxon_312",0,0,0,0,0,5,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_313",0,0,0,0,0,5,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_314",0,0,0,0,0,5,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_315",0,0,0,0,0,4,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_316",0,0,0,0,0,4,0,0,0,0,0
"Viridiplantae__Chlorophyta__Chlorophyceae__Chlamydomonadales__NA__NA__NA__Taxon_317",0,0,0,0,0,4,0,0,0,0,0
"Metazoa__Annelida__Clitellata__Haplotaxida__Lumbricidae__Eisenia__Eisenia fetida__Taxon_318",0,0,0,0,0,3,0,0,0,0,0
"Metazoa__Chordata__Actinopteri__Cypriniformes__Cyprinidae__Pimephales__Pimephales promelas__Taxon_319",0,0,0,0,0,3,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_320",0,0,0,0,0,3,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_321",0,0,0,0,0,3,0,0,0,0,0
"Viridiplantae__Chlorophyta__Chlorophyceae__Chlamydomonadales__NA__NA__NA__Taxon_322",0,0,0,0,0,3,0,0,0,0,0
"Metazoa__Arthropoda__Insecta__NA__NA__NA__NA__Taxon_323",0,0,0,0,0,3,0,0,0,0,0
"Metazoa__Arthropoda__Insecta__NA__NA__NA__NA__Taxon_324",0,0,0,0,0,3,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_325",0,0,0,0,0,2,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_326",0,0,0,0,0,2,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_327",0,0,0,0,0,2,0,0,0,0,0
"Viridiplantae__Chlorophyta__Chlorophyceae__Chlamydomonadales__NA__NA__NA__Taxon_328",0,0,0,0,0,2,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_329",0,0,0,0,0,2,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_330",0,0,0,0,0,2,0,0,0,0,0
"Metazoa__Arthropoda__Insecta__NA__NA__NA__NA__Taxon_331",0,0,0,0,0,2,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_332",0,0,0,0,0,2,0,0,0,0,0
"Metazoa__Arthropoda__Insecta__NA__NA__NA__NA__Taxon_333",0,0,0,0,0,2,0,0,0,0,0
"Metazoa__Annelida__Clitellata__Haplotaxida__Naididae__NA__NA__Taxon_334",0,0,0,0,0,2,0,0,0,0,0
"Metazoa__Chordata__Amphibia__Anura__NA__NA__NA__Taxon_335",0,0,0,0,0,2,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_336",0,0,0,0,0,0,4781,0,0,28,0
"Metazoa__Rotifera__Monogononta__Ploima__NA__NA__NA__Taxon_337",0,0,0,0,0,15,917,31,114,22,0
"Metazoa__Arthropoda__Hexanauplia__Cyclopoida__Cyclopidae__NA__NA__Taxon_338",0,0,0,0,0,0,636,0,0,0,0
"Metazoa__Arthropoda__Hexanauplia__NA__NA__NA__NA__Taxon_339",2,16,0,0,0,0,164,0,0,10,0
"Metazoa__Tardigrada__NA__NA__NA__NA__NA__Taxon_340",0,0,0,0,0,0,161,0,0,0,0
"Metazoa__Rotifera__Monogononta__Ploima__NA__NA__NA__Taxon_341",21,34,7,0,16,0,94,41,0,0,0
"Metazoa__Annelida__Clitellata__Haplotaxida__NA__NA__NA__Taxon_342",0,0,0,0,0,0,90,0,0,7,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_343",0,0,0,0,0,7,118,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_344",0,0,0,0,0,0,79,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_345",0,0,0,0,0,0,76,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_346",0,0,0,0,0,0,10,0,25,35,0
"Metazoa__Arthropoda__Insecta__Ephemeroptera__NA__NA__NA__Taxon_347",7,0,38,0,0,5,63,0,28,97,0
"Metazoa__Chordata__NA__NA__NA__NA__NA__Taxon_348",0,0,0,0,0,0,59,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_349",0,0,0,0,0,0,53,0,0,0,0
"Metazoa__Arthropoda__Insecta__NA__NA__NA__NA__Taxon_350",0,0,0,0,0,0,41,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_351",0,4,6,0,0,0,42,0,0,6,0
"Metazoa__Tardigrada__NA__NA__NA__NA__NA__Taxon_352",0,0,0,0,0,0,27,0,0,0,0
"Metazoa__Arthropoda__Insecta__Ephemeroptera__Baetidae__NA__NA__Taxon_353",0,0,0,0,0,0,26,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_354",0,0,0,0,0,0,25,0,0,0,0
"Metazoa__Mollusca__Gastropoda__NA__NA__NA__NA__Taxon_355",0,0,0,0,0,0,21,0,0,0,0
"Metazoa__Arthropoda__NA__NA__NA__NA__NA__Taxon_356",0,0,0,0,0,0,6,0,0,12,0
"Metazoa__Mollusca__Gastropoda__Stylommatophora__Arionidae__Arion__Arion subfuscus__Taxon_357",0,0,0,0,0,0,16,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_358",0,0,0,0,0,0,14,0,0,0,0
"Metazoa__Arthropoda__Insecta__Diptera__Tachinidae__Compsilura__Compsilura concinnata__Taxon_359",0,0,0,0,0,0,13,0,0,0,0
"Metazoa__Mollusca__Bivalvia__Veneroida__Sphaeriidae__NA__NA__Taxon_360",0,0,0,0,0,0,12,0,0,0,0
"Metazoa__Arthropoda__Insecta__Diptera__Chironomidae__NA__NA__Taxon_361",0,0,0,0,0,0,31,0,10,20,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_362",0,0,0,0,0,0,11,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_363",0,0,0,0,0,0,11,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_364",0,0,0,0,0,0,10,0,0,0,0
"Metazoa__Arthropoda__Insecta__Diptera__Chironomidae__NA__NA__Taxon_365",0,0,0,0,0,0,2,0,0,7,0
"Metazoa__Rotifera__Monogononta__Ploima__NA__NA__NA__Taxon_366",0,0,0,0,0,0,8,0,0,0,0
"Metazoa__Arthropoda__Insecta__Diptera__Chironomidae__Chironomus__Chironomus maturus__Taxon_367",0,0,0,0,0,0,7,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_368",0,0,0,0,0,0,7,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_369",0,0,0,0,0,0,7,0,0,0,0
"Viridiplantae__Chlorophyta__Chlorophyceae__Chlamydomonadales__NA__NA__NA__Taxon_370",0,0,0,0,0,0,6,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_371",0,0,0,0,0,0,6,0,0,0,0
"Metazoa__Arthropoda__Insecta__Trichoptera__NA__NA__NA__Taxon_372",0,0,0,0,0,0,6,0,0,0,0
"Metazoa__Arthropoda__Insecta__Trichoptera__Polycentropodidae__Plectrocnemia__Plectrocnemia variegata__Taxon_373",0,0,0,0,0,0,6,0,0,0,0
"Metazoa__Annelida__Clitellata__Haplotaxida__Naididae__NA__NA__Taxon_374",0,0,0,0,0,0,5,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_375",0,0,0,0,0,0,5,0,0,0,0
"Metazoa__Arthropoda__Insecta__Diptera__Chironomidae__NA__NA__Taxon_376",0,0,0,0,0,0,5,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_377",0,0,0,0,0,0,5,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_378",0,0,0,0,0,0,5,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_379",0,0,0,0,0,0,5,0,0,0,0
"Metazoa__Arthropoda__Insecta__NA__NA__NA__NA__Taxon_380",0,0,0,0,0,0,5,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_381",0,0,0,0,0,0,4,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_382",0,0,0,0,0,0,4,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_383",0,0,0,0,0,0,4,0,0,0,0
"Metazoa__Cnidaria__Hydrozoa__Anthoathecata__NA__NA__NA__Taxon_384",0,0,0,0,0,0,4,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_385",3,0,0,0,0,0,4,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_386",0,0,0,0,0,0,4,0,0,0,0
"Metazoa__Annelida__Clitellata__Haplotaxida__NA__NA__NA__Taxon_387",0,0,0,0,0,0,3,0,0,0,0
"Metazoa__Platyhelminthes__NA__NA__NA__NA__NA__Taxon_388",0,0,0,0,0,0,3,0,0,0,0
"Metazoa__Nematoda__Chromadorea__Rhabditida__NA__NA__NA__Taxon_389",0,0,0,0,0,0,3,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_390",0,0,0,0,0,0,3,0,0,0,0
