,MiFish.0321.1Prt.Dn.1,MiFish.0321.1Prt.Dn.2,MiFish.0321.1Prt.Up.2,MiFish.0321.2Brn.Dn.1,MiFish.0321.2Brn.Up.1,MiFish.0321.2Brn.Up.2,MiFish.0321.2Brn.Up.3,MiFish.0321.4Pad.Dn.1,MiFish.0321.5Sqm.Up.2,MiFish.0321.1Prt.Dn.1TR2,MiFish.0321.1Prt.Dn.1TR3,MiFish.0421.1Prt.Dn.2,MiFish.0421.3Chk.Dn.3,MiFish.0421.4Pad.Dn.1,MiFish.0421.4Pad.Up11.3,MiFish.0421.5Sqm.Up.1,MiFish.0421.3Chk.Dn.3TR2,MiFish.0421.3Chk.Dn.3TR3,MiFish.0821.1Prt.Dn.1,MiFish.0821.1Prt.Up.1,MiFish.0821.2Brn.Up.2,MiFish.0821.3Chk.Dn.2,MiFish.0821.4Pad.Dn.2,MiFish.0821.4Pad.Up11.3,MiFish.0821.4Pad.Up5.3,MiFish.0821.5Sqm.Dn.2,MiFish.Kangaroo.Run.3
Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__Oncorhynchus__Oncorhynchus kisutch__Taxon_01,5174,0,1846,0,0,0,0,966,2093,0,0,4196,0,578,0,743,0,0,5289,1162,0,0,176,1951,3938,702,8
Metazoa__Chordata__Aves__Anseriformes__Anatidae__NA__NA__Taxon_02,189,0,659,0,0,0,0,3,0,0,133,0,0,106,5,0,0,39,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA__Taxon_03,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Hyperoartia__Petromyzontiformes__Petromyzontidae__Lampetra__Lampetra sp. CBM:ZF:17561__Taxon_04,0,6624,0,1824,0,0,0,0,87,0,0,0,0,0,0,148,0,0,3236,1126,0,0,0,0,0,294,4
Metazoa__Chordata__Hyperoartia__Petromyzontiformes__Petromyzontidae__NA__NA__Taxon_05,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Hyperoartia__Petromyzontiformes__Petromyzontidae__Lampetra__NA__Taxon_06,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__Oncorhynchus__Oncorhynchus clarkii__Taxon_07,0,0,2480,17814,0,2220,0,7229,14271,0,3957,3827,1953,4780,753,12271,22611,16698,18132,3636,0,15983,1175,1637,0,21446,10
Metazoa__Chordata__Mammalia__Carnivora__Canidae__Canis__NA__Taxon_08,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,9,0,0,0,0,0,0
Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA__Taxon_09,0,0,94,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Mammalia__Primates__Hominidae__Homo__Homo sapiens__Taxon_10,0,0,0,91,0,471,0,25,0,0,0,0,5,0,0,60,22,22,0,0,0,0,0,0,0,0,160
Metazoa__NA__NA__NA__NA__NA__NA__Taxon_11,0,0,446,7551,16118,12249,12217,0,55,0,0,39,51,0,16,444,3107,6,7,0,23694,6508,0,0,527,0,0
Metazoa__Chordata__Mammalia__Rodentia__Cricetidae__NA__NA__Taxon_12,0,0,0,18,0,0,0,0,0,0,0,0,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA__Taxon_13,0,0,0,473,0,70,0,206,421,0,0,0,0,141,0,349,635,488,484,0,0,430,0,0,0,612,0
Metazoa__Chordata__Mammalia__Rodentia__Muridae__Rattus__NA__Taxon_14,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Mammalia__Carnivora__Canidae__Canis__Canis lupus__Taxon_15,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Mammalia__Carnivora__Felidae__Lynx__Lynx rufus__Taxon_16,0,0,0,0,9859,889,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Aves__Passeriformes__NA__NA__NA__Taxon_17,0,0,0,0,1253,4329,7944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Mammalia__Primates__Hominidae__Homo__Homo sapiens__Taxon_18,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Mammalia__Artiodactyla__Cervidae__NA__NA__Taxon_19,0,0,0,0,2,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Mammalia__Carnivora__Felidae__NA__NA__Taxon_20,0,0,0,0,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA__Taxon_21,0,0,0,0,0,1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Aves__Passeriformes__NA__NA__NA__Taxon_22,0,0,0,0,0,110,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__NA__NA__NA__NA__NA__NA__Taxon_23,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0
Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__Oncorhynchus__Oncorhynchus mykiss__Taxon_24,0,0,0,0,0,1042,0,4879,496,0,0,0,0,3060,5463,439,0,0,0,0,0,397,686,19624,0,0,0
Metazoa__Chordata__Actinopteri__Perciformes__Cottidae__Cottus__NA__Taxon_25,0,0,0,0,0,0,0,9756,0,0,0,0,0,2314,6221,0,9,10,0,6,6,5,0,2300,430,0,0
Metazoa__NA__NA__NA__NA__NA__NA__Taxon_26,0,0,0,0,0,0,0,380,218,0,0,0,0,0,0,173,0,0,17,0,0,45,0,172,0,0,0
Metazoa__Chordata__Mammalia__Lagomorpha__Leporidae__Sylvilagus__NA__Taxon_27,0,0,0,0,0,0,0,176,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
Metazoa__Chordata__Aves__Passeriformes__Turdidae__Turdus__Turdus migratorius__Taxon_28,0,0,0,0,0,0,0,794,225,0,0,0,14,86,62,38,591,295,41,265,188,0,0,61,0,85,0
Metazoa__Chordata__Aves__Galliformes__Phasianidae__NA__NA__Taxon_29,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Actinopteri__Siluriformes__Ictaluridae__NA__NA__Taxon_30,0,0,0,0,0,0,0,867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Actinopteri__NA__NA__NA__NA__Taxon_31,0,0,0,0,0,0,0,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0
Metazoa__Chordata__Actinopteri__Perciformes__Cottidae__NA__NA__Taxon_32,0,0,0,0,0,0,0,267,0,0,0,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Actinopteri__Cypriniformes__Leuciscidae__Pimephales__Pimephales promelas__Taxon_33,0,0,0,0,0,0,0,0,7562,0,0,0,0,0,0,13761,0,0,0,0,0,0,0,7,18,0,0
Metazoa__Chordata__Actinopteri__Cypriniformes__Leuciscidae__NA__NA__Taxon_34,0,0,0,0,0,0,0,0,1029,0,0,0,0,0,0,722,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Actinopteri__Cypriniformes__Leuciscidae__NA__NA__Taxon_35,0,0,0,0,0,0,0,0,563,0,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Mammalia__Didelphimorphia__Didelphidae__Didelphis__Didelphis virginiana__Taxon_36,0,0,0,0,0,0,0,0,0,119,827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Taxon_37,0,0,0,0,0,0,0,0,0,1339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Mammalia__Rodentia__NA__NA__NA__Taxon_38,0,0,0,0,0,0,0,0,0,1636,0,0,0,0,0,0,3,12,16,21,0,0,0,0,0,0,0
Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA__Taxon_39,0,0,0,0,0,85,0,87,0,0,245,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA__Taxon_40,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0
Metazoa__Chordata__Amphibia__Caudata__Ambystomatidae__Ambystoma__NA__Taxon_41,0,0,0,0,0,0,0,0,802,0,0,0,147,0,323,51,200,476,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA__Taxon_42,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,582,1697,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Actinopteri__Perciformes__Percidae__Perca__Perca flavescens__Taxon_43,0,0,0,0,0,0,0,0,0,0,0,0,0,7554,5264,0,0,0,0,0,0,0,0,0,949,0,0
Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Taxon_44,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Actinopteri__Perciformes__NA__NA__NA__Taxon_45,0,0,0,0,0,0,0,0,0,0,0,0,0,227,139,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Mammalia__Rodentia__Sciuridae__NA__NA__Taxon_46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Taxon_47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Taxon_48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Actinopteri__Siluriformes__Ictaluridae__Ameiurus__Ameiurus nebulosus__Taxon_49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,823,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Taxon_50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Aves__Passeriformes__NA__NA__NA__Taxon_51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA__Taxon_52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA__Taxon_53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__Oncorhynchus__Oncorhynchus nerka__Taxon_54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0
Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA__Taxon_55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0
Metazoa__Chordata__Mammalia__Didelphimorphia__Didelphidae__NA__NA__Taxon_56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0
Metazoa__Chordata__Aves__Passeriformes__NA__NA__NA__Taxon_57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0
Metazoa__Chordata__Mammalia__Eulipotyphla__Soricidae__NA__NA__Taxon_58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0
Metazoa__Chordata__Actinopteri__Perciformes__Gasterosteidae__Gasterosteus__NA__Taxon_59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24120,0,0,0,0
Metazoa__Chordata__Actinopteri__Perciformes__Gasterosteidae__Gasterosteus__Gasterosteus aculeatus__Taxon_60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1317,0,0,0,0
Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA__Taxon_61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,978,0,0,0
Metazoa__Chordata__Actinopteri__Perciformes__Gasterosteidae__NA__NA__Taxon_62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,602,0,0,0,0
Metazoa__Chordata__Mammalia__Carnivora__Procyonidae__Procyon__Procyon lotor__Taxon_63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
Metazoa__Chordata__Mammalia__Artiodactyla__Suidae__Sus__Sus scrofa__Taxon_64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,897,0,0,0
Metazoa__Chordata__Mammalia__Rodentia__Muridae__Rattus__NA__Taxon_65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0
Metazoa__Chordata__Aves__Passeriformes__NA__NA__NA__Taxon_66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,0,0
Metazoa__Chordata__Actinopteri__Perciformes__Cottidae__NA__NA__Taxon_67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0
Metazoa__Chordata__Actinopteri__NA__NA__NA__NA__Taxon_68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0
Metazoa__Chordata__Mammalia__Diprotodontia__Macropodidae__Osphranter__Osphranter rufus__Taxon_69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36682
Metazoa__Chordata__Mammalia__Diprotodontia__NA__NA__NA__Taxon_70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1439
