"","hash.id","tmp"
"Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__Oncorhynchus__Oncorhynchus clarkii__Seq_001","fd7d89190e5c165cf36284ea0fca46c98216328c","Seq_001"
"Metazoa__Chordata__Mammalia__Primates__Hominidae__Homo__Homo sapiens__Seq_002","d6f69979e2e7c50e468fdb7a4ad00eb8296b8bf9","Seq_002"
"Metazoa__NA__NA__NA__NA__NA__NA__Seq_003","580a64b0134da56e49bf06482ed6ee164d8a6ec5","Seq_003"
"Metazoa__Chordata__Mammalia__Didelphimorphia__Didelphidae__Didelphis__Didelphis virginiana__Seq_004","8519a7f742cabfdb887dc2013feba40c4584b8db","Seq_004"
"Metazoa__NA__NA__NA__NA__NA__NA__Seq_005","76918abfaa90d218d683fdbc4f8024dd430d7d91","Seq_005"
"Metazoa__Chordata__Mammalia__Rodentia__NA__NA__NA__Seq_006","c161735732d10ef81323d9b5812491897d2eb5ab","Seq_006"
"Metazoa__Chordata__Hyperoartia__Petromyzontiformes__Petromyzontidae__Lampetra__Lampetra sp. CBM:ZF:17561__Seq_007","a2f2121e42c56aa5bd2b1fca2bd1b29869d2400a","Seq_007"
"Metazoa__Chordata__Mammalia__Primates__Hominidae__Homo__Homo sapiens__Seq_008","9bb9b0ca0ff04246c282a4ecaa318c8af7a948bb","Seq_008"
"NA__NA__NA__NA__NA__NA__NA__Seq_009","8ec931f8723a382855753cbfb8c92bd75cf323a8","Seq_009"
"Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Seq_010","ddf5d8f01c176ab003be35dd8935dab512bf36c1","Seq_010"
"NA__NA__NA__NA__NA__NA__NA__Seq_011","02087cc593f40be8e3f3405e26b791009dca5131","Seq_011"
"Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA__Seq_012","dac66c6958eb6715abd0243ec2f5592da97cb1f5","Seq_012"
"NA__NA__NA__NA__NA__NA__NA__Seq_013","b788eca460686de3f92b46d93b89eb571cd06bed","Seq_013"
"NA__NA__NA__NA__NA__NA__NA__Seq_014","1817c9310d0145992696f8490f9c0dea4501cf52","Seq_014"
"Metazoa__Chordata__Mammalia__Rodentia__Cricetidae__NA__NA__Seq_015","2888591f23daf76ef3ae53a7d4bd6ffe13361bb8","Seq_015"
"Metazoa__Chordata__Mammalia__Primates__Hominidae__Homo__Homo sapiens__Seq_016","01719166d24c6b718d79036a279a11fa88f786c7","Seq_016"
"NA__NA__NA__NA__NA__NA__NA__Seq_017","de153c34b212edc93e83a42901b4b97d6e887c7f","Seq_017"
"Metazoa__Chordata__Mammalia__Primates__Hominidae__Homo__Homo sapiens__Seq_018","88868f145c43408aa6c27982badd3cf6c7435c45","Seq_018"
"Metazoa__Chordata__Aves__Passeriformes__NA__NA__NA__Seq_019","d84391b013a0c0b0f0e588766fb6a2f47f8bc81c","Seq_019"
"NA__NA__NA__NA__NA__NA__NA__Seq_020","f536d06c01845ccab42b872aac3cb3788e538310","Seq_020"
"Metazoa__Chordata__Mammalia__Rodentia__Cricetidae__NA__NA__Seq_021","d071447bb8ca2177c49e93535e90db16ffe738c3","Seq_021"
"Metazoa__Chordata__Mammalia__Primates__Hominidae__Homo__Homo sapiens__Seq_022","2a57b50fb2af64df3bf7b78d13ef04e7215a04d1","Seq_022"
"NA__NA__NA__NA__NA__NA__NA__Seq_023","a1ecb2c70bef54058868d81e8f8b510a48061c41","Seq_023"
"NA__NA__NA__NA__NA__NA__NA__Seq_024","78398923c6c69e284597e3ceadb582b981ec0b7f","Seq_024"
"NA__NA__NA__NA__NA__NA__NA__Seq_025","073c967cd39a8b457613613952b6fd61c50bb9fe","Seq_025"
"NA__NA__NA__NA__NA__NA__NA__Seq_026","726a680652aa1353b47b8f932cc6deeee094a1a3","Seq_026"
"NA__NA__NA__NA__NA__NA__NA__Seq_027","ca63ff4e2cee66494b9478cebbac6c57b26d6542","Seq_027"
"NA__NA__NA__NA__NA__NA__NA__Seq_028","96cf57acc04a8266cc4efbcd460bd10e19a849a7","Seq_028"
"NA__NA__NA__NA__NA__NA__NA__Seq_029","d5702888de20d9944cfa565cfcb59e12c7e484c3","Seq_029"
"Metazoa__NA__NA__NA__NA__NA__NA__Seq_030","68555c3d5ffd7dbdae3901cba5230626de7bf52f","Seq_030"
"Metazoa__Chordata__Mammalia__Rodentia__Cricetidae__NA__NA__Seq_031","c49a8f7144e51f8a0d46c19d4c50ac4e41772a40","Seq_031"
"NA__NA__NA__NA__NA__NA__NA__Seq_032","3bfe37b2d08e19d218e68af2ea6db303e0e82fea","Seq_032"
"NA__NA__NA__NA__NA__NA__NA__Seq_033","1e08dd663cd11070046f2732dce934e356a6adec","Seq_033"
"NA__NA__NA__NA__NA__NA__NA__Seq_034","7b0e28ba575b918bd4b81d7664d45482e69c6885","Seq_034"
"NA__NA__NA__NA__NA__NA__NA__Seq_035","65d1dd8204186cabd1e4900895b216e9fa9b298f","Seq_035"
"NA__NA__NA__NA__NA__NA__NA__Seq_036","63283ebd575153d54e2bc0a92a096c3cae26a821","Seq_036"
"NA__NA__NA__NA__NA__NA__NA__Seq_037","f2bc4405f2b55f7fbfb31331eb5215075f0ace3d","Seq_037"
"Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Seq_038","e49f29f531772e66d7044da181264083c6e69d6d","Seq_038"
"NA__NA__NA__NA__NA__NA__NA__Seq_039","201a50d0321078c342d8241e038cb52a5024648b","Seq_039"
"NA__NA__NA__NA__NA__NA__NA__Seq_040","4b8f6db311b209add62ecfbf4cc6c3ccf77fa2ac","Seq_040"
"NA__NA__NA__NA__NA__NA__NA__Seq_041","1bc8043475830035690ccfa348a5211efe62d455","Seq_041"
"NA__NA__NA__NA__NA__NA__NA__Seq_042","2af6cc91d461aa39cf144790a9f455c858f9ad59","Seq_042"
"NA__NA__NA__NA__NA__NA__NA__Seq_043","e6ea34e12b7e7caa8fca58267d03f1d863c90f47","Seq_043"
"NA__NA__NA__NA__NA__NA__NA__Seq_044","e75001e59ac3db07faf31aa6111d02c659feefee","Seq_044"
"NA__NA__NA__NA__NA__NA__NA__Seq_045","0fd88ed0f362ce21c787f53ea20c305c312f4cbe","Seq_045"
"Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Seq_046","6f4156f2f388b3f8332e1dea570a1d21f65fd375","Seq_046"
"NA__NA__NA__NA__NA__NA__NA__Seq_047","2c1c57944213e7c6e54d18bf3dea2650368be356","Seq_047"
"NA__NA__NA__NA__NA__NA__NA__Seq_048","165eacabd78cfa8cb413f3e5347be257c188ef0f","Seq_048"
"NA__NA__NA__NA__NA__NA__NA__Seq_049","d4a55837cbd48549a4a486d0a0519d9f7e7b1f4b","Seq_049"
"NA__NA__NA__NA__NA__NA__NA__Seq_050","7b3a8505bf87d76a5e780c01a13933971ea4e08e","Seq_050"
"NA__NA__NA__NA__NA__NA__NA__Seq_051","2131add89961c8e367c820ac888a11bffc946021","Seq_051"
"NA__NA__NA__NA__NA__NA__NA__Seq_052","dac64f3751bbb06d5d6a54ea7dba6b4a59a9132e","Seq_052"
"NA__NA__NA__NA__NA__NA__NA__Seq_053","d44d7a15b11a51088c779358b4976e4531e445b2","Seq_053"
"NA__NA__NA__NA__NA__NA__NA__Seq_054","65466d28dfea99ee542cc246e082d6e169fdcef9","Seq_054"
"NA__NA__NA__NA__NA__NA__NA__Seq_055","523cc12d56dd0f6b0bfaa05723a90d5675cad80e","Seq_055"
"NA__NA__NA__NA__NA__NA__NA__Seq_056","fa7d355effc1ed4c73ca4d73efedcfb2aa611732","Seq_056"
"NA__NA__NA__NA__NA__NA__NA__Seq_057","3e458f195ace9a3150addf5aa5991ab22510a2f8","Seq_057"
"NA__NA__NA__NA__NA__NA__NA__Seq_058","321f171a647ff222013fb561559e2994055f55b5","Seq_058"
"NA__NA__NA__NA__NA__NA__NA__Seq_059","bdda101f2e296f8d76fd632943e3099a9a500b0b","Seq_059"
"NA__NA__NA__NA__NA__NA__NA__Seq_060","c7ee6f8707a892e327488afa30432f9024e7af79","Seq_060"
"NA__NA__NA__NA__NA__NA__NA__Seq_061","067cdea2c028149f9a55545563b61611506533fa","Seq_061"
"NA__NA__NA__NA__NA__NA__NA__Seq_062","bc63baf0999374f0dd14d3de3fba479eea84607a","Seq_062"
"NA__NA__NA__NA__NA__NA__NA__Seq_063","466e729a3c1a26eb2d7f8d651d1a995297390299","Seq_063"
"NA__NA__NA__NA__NA__NA__NA__Seq_064","1e68b68361306fc68547497e304876c04d16a77f","Seq_064"
"NA__NA__NA__NA__NA__NA__NA__Seq_065","4e5b4874b13620a7e5adb35049e8eb24b23ed2af","Seq_065"
"NA__NA__NA__NA__NA__NA__NA__Seq_066","4478b66c21b9808c2e2d68300d93f5f3ebb77ae6","Seq_066"
"Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__Oncorhynchus__Oncorhynchus kisutch__Seq_067","02e4a86c119ca4b65e5b616135fa996aa2eb4372","Seq_067"
"Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__Oncorhynchus__Oncorhynchus mykiss__Seq_068","a56843c86d60d4423f69f4836868d31ea7eadf22","Seq_068"
"Metazoa__Chordata__Actinopteri__Perciformes__Cottidae__Cottus__NA__Seq_069","49b916c007d3dbb75da7ceb655dd8cefb4e15ac4","Seq_069"
"Metazoa__Chordata__Mammalia__Carnivora__Canidae__Canis__NA__Seq_070","5dbce0075732b37e517721c275ba3c2e14e50196","Seq_070"
"Metazoa__Chordata__Aves__Passeriformes__Passerellidae__Melospiza__Melospiza melodia__Seq_071","d375db6821a4402acdeffb3d216d4abdc355cd48","Seq_071"
"Metazoa__Chordata__Mammalia__Rodentia__Sciuridae__NA__NA__Seq_072","63a7d0273f9bdd41fc062c411d5c529730a67ff1","Seq_072"
"Metazoa__Chordata__Aves__Anseriformes__Anatidae__NA__NA__Seq_073","ca4009e9f4961a466d717e77ddddcf64a374073d","Seq_073"
"NA__NA__NA__NA__NA__NA__NA__Seq_074","406aec86258ef8821827fb46e2447a9aa2885cec","Seq_074"
"Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Seq_075","358d0def35bc8bcf2711011fb63f7fc511496cc5","Seq_075"
"NA__NA__NA__NA__NA__NA__NA__Seq_076","b2adee11d0798c70d512e9c4a4ec72cf72fdab7a","Seq_076"
"Metazoa__Chordata__Mammalia__Carnivora__Canidae__Canis__Canis lupus__Seq_077","cf62a26ab8c1b5312a68133cb90988e0b24ee387","Seq_077"
"NA__NA__NA__NA__NA__NA__NA__Seq_078","09c6e1785ec090a52b290777a5058509454bf61f","Seq_078"
"Metazoa__Chordata__NA__NA__NA__NA__NA__Seq_079","71af3877e5027588b85b33c8f9610503cdf2af74","Seq_079"
"Metazoa__Chordata__Mammalia__Primates__Hominidae__Homo__Homo sapiens__Seq_080","47d90263f660c4c07ecb6131960515a746a8abef","Seq_080"
"Metazoa__Chordata__Mammalia__Rodentia__Muridae__Rattus__NA__Seq_081","deaadc11b0189c975741718d011ab0f6897f6066","Seq_081"
"Metazoa__Chordata__Mammalia__Carnivora__Canidae__Canis__Canis lupus__Seq_082","b245de1ca82ac7a2ac8703dd5bab5342d28bd4ab","Seq_082"
"Metazoa__Chordata__Amphibia__Caudata__Ambystomatidae__Ambystoma__NA__Seq_083","4be671e1ce0da6b1505cf3f3cbe98a49c6d2d7ff","Seq_083"
"NA__NA__NA__NA__NA__NA__NA__Seq_084","f07a41cd8cd299a928be8310d7366816f181212a","Seq_084"
"NA__NA__NA__NA__NA__NA__NA__Seq_085","3fb271469c16a0263ae285a8bd995cb5cdf82390","Seq_085"
"Metazoa__Chordata__NA__NA__NA__NA__NA__Seq_086","ed947cab6e7ec1c1e6f04bf5c2581f1d73292a07","Seq_086"
"NA__NA__NA__NA__NA__NA__NA__Seq_087","319199a59bd238b27cc8cd21c11d24f242baf997","Seq_087"
"Metazoa__Chordata__Mammalia__Carnivora__Canidae__Canis__NA__Seq_088","aa1a9c561aff3aedb076e617010399e8178046a1","Seq_088"
"Metazoa__Chordata__Mammalia__Carnivora__Canidae__Canis__NA__Seq_089","6f8881a957d250fa5317484de99986d421535178","Seq_089"
"NA__NA__NA__NA__NA__NA__NA__Seq_090","1f8fa7a739b2feec0bf88389ac754704abb95a12","Seq_090"
"Metazoa__Chordata__Mammalia__Carnivora__Canidae__Canis__NA__Seq_091","0502a89869e20d6586b3ccd464f94e1feaec8da0","Seq_091"
"Metazoa__Chordata__Aves__Anseriformes__Anatidae__NA__NA__Seq_092","f22f946bfb36bec4651a7c53b06a54c54c649c6c","Seq_092"
"NA__NA__NA__NA__NA__NA__NA__Seq_093","4c1872d1ac139e0a63b98a082ba3fb5b5a32d176","Seq_093"
"NA__NA__NA__NA__NA__NA__NA__Seq_094","cf912d914ced8c34abc72934154c4eae820ed994","Seq_094"
"NA__NA__NA__NA__NA__NA__NA__Seq_095","102fba8ef6395bfb379e3c7e37d4b4237e0c13cb","Seq_095"
"NA__NA__NA__NA__NA__NA__NA__Seq_096","e3d2fad9cee615d4db845a1afc12aac186f8e80e","Seq_096"
"NA__NA__NA__NA__NA__NA__NA__Seq_097","b58a8117cebc4ac1d13b2565d220ec567da630cc","Seq_097"
"Metazoa__Chordata__Aves__Passeriformes__NA__NA__NA__Seq_098","35e334311044348b8d39fb275ce94e11c2cf361d","Seq_098"
"NA__NA__NA__NA__NA__NA__NA__Seq_099","4f7db3fc5dddfed4f868a1fc7634062695acc4e6","Seq_099"
"NA__NA__NA__NA__NA__NA__NA__Seq_100","37ba4974636e6ddae67b7fdea8cebb76044c4502","Seq_100"
"NA__NA__NA__NA__NA__NA__NA__Seq_101","1cf91047f54fa2344310c5294100ad718955bb2c","Seq_101"
"NA__NA__NA__NA__NA__NA__NA__Seq_102","b2aa06b5fea074d599c5d60c2c85f06368dafb28","Seq_102"
"NA__NA__NA__NA__NA__NA__NA__Seq_103","bb7d1d4e197eba54ffc4bc945e17c6e410123f0f","Seq_103"
"NA__NA__NA__NA__NA__NA__NA__Seq_104","8fb1e053d409249089cc35d10d9b2df08f4305fa","Seq_104"
"NA__NA__NA__NA__NA__NA__NA__Seq_105","98b845d24f1d3f0daf49f5f846002b622902e651","Seq_105"
"NA__NA__NA__NA__NA__NA__NA__Seq_106","94bb478e5e71ec60861e4942c3584d23b39b33e8","Seq_106"
"NA__NA__NA__NA__NA__NA__NA__Seq_107","c78e4cfc9a992bd6e39a939718d0bf9eba4df8b0","Seq_107"
"NA__NA__NA__NA__NA__NA__NA__Seq_108","957497b0bf54b5bb71aa8473d03ee42c1ed68900","Seq_108"
"NA__NA__NA__NA__NA__NA__NA__Seq_109","b836516b2278a877f47f92d4382a5e2f2a00edaa","Seq_109"
"Metazoa__Chordata__Aves__Anseriformes__Anatidae__NA__NA__Seq_110","8d4bbc6ce4b6ec02b439fdf354147ee4b4399269","Seq_110"
"NA__NA__NA__NA__NA__NA__NA__Seq_111","cc33bfdd1b58e2e89e737a905b630d7ae39af3e1","Seq_111"
"NA__NA__NA__NA__NA__NA__NA__Seq_112","fc1abc1bc3c4085731f01ac7b857bb48ab5a7ef1","Seq_112"
"Metazoa__Chordata__Actinopteri__NA__NA__NA__NA__Seq_113","fe72cd5c92fc95d33982bc5916c5d015404e2977","Seq_113"
"NA__NA__NA__NA__NA__NA__NA__Seq_114","64950190e6818617c1f9f4389e5c0b204080d3ab","Seq_114"
"NA__NA__NA__NA__NA__NA__NA__Seq_115","310f8a03764bf1885b8248b81275e406912585c8","Seq_115"
"NA__NA__NA__NA__NA__NA__NA__Seq_116","d38cdc1545a1a0ccd6206e6e9877b801b2865732","Seq_116"
"NA__NA__NA__NA__NA__NA__NA__Seq_117","b536d3e21598fd3db15e9021e6d287ea702b5640","Seq_117"
"NA__NA__NA__NA__NA__NA__NA__Seq_118","f1148c20cea8463d0aacd6c75582aecabab1c642","Seq_118"
"NA__NA__NA__NA__NA__NA__NA__Seq_119","4535ee40342fa29741a2a2fd1f9efcff9edf41ef","Seq_119"
"NA__NA__NA__NA__NA__NA__NA__Seq_120","76fa61c6943b8658ab7491f65225c9213c689406","Seq_120"
"Metazoa__Chordata__Mammalia__Carnivora__Felidae__Lynx__Lynx rufus__Seq_121","8ade38d6c1396cc32395e6773d53ae373734314c","Seq_121"
"Metazoa__Chordata__Mammalia__Artiodactyla__Cervidae__NA__NA__Seq_122","f5eff4f6cfa27ce87100f93e7674f050a7e2fdbd","Seq_122"
"Metazoa__Chordata__Mammalia__Carnivora__Felidae__NA__NA__Seq_123","a509e6c3a18d5d776a8b71fd331a0f72d5fc18ca","Seq_123"
"Metazoa__NA__NA__NA__NA__NA__NA__Seq_124","858f4c2c3cd20bd167f1e495bfdc88b71aa217a9","Seq_124"
"Metazoa__Chordata__Mammalia__Carnivora__NA__NA__NA__Seq_125","80b48122ec86fc0054f144d85fb5151350ec9dcd","Seq_125"
"Metazoa__NA__NA__NA__NA__NA__NA__Seq_126","3efaf9264c622aa69a6e16b9ae54878453da0357","Seq_126"
"Metazoa__Chordata__Mammalia__Carnivora__NA__NA__NA__Seq_127","83c42f6788444d029728771c178933a1212c25d8","Seq_127"
"Metazoa__NA__NA__NA__NA__NA__NA__Seq_128","a6d4e9f15b1e754c9c11ec8edee164e5eb0c343e","Seq_128"
"Metazoa__Chordata__Actinopteri__Perciformes__Percidae__Perca__Perca flavescens__Seq_129","e330f6d1a7768b21c34c1d9d6814f5b48c87b05a","Seq_129"
"Metazoa__Chordata__Mammalia__Rodentia__Cricetidae__NA__NA__Seq_130","f5b5aded2ca74ffb7f6b02448ffa90a36de662df","Seq_130"
"Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__Oncorhynchus__Oncorhynchus mykiss__Seq_131","de42666eb0e70e73c99b1061e5e4bfe4477204b5","Seq_131"
"NA__NA__NA__NA__NA__NA__NA__Seq_132","629aa86f569921707980e85a596cb12105791f75","Seq_132"
"NA__NA__NA__NA__NA__NA__NA__Seq_133","419df96acea16e56d68cfa453e77987304ce4695","Seq_133"
"NA__NA__NA__NA__NA__NA__NA__Seq_134","8ed6e061a113f0a3323ef17b1c1e2f2fb575a043","Seq_134"
"Metazoa__Chordata__Aves__Anseriformes__Anatidae__NA__NA__Seq_135","70a3e53e3e2c41bc4c57cbd79f14cc0d9c515f5c","Seq_135"
"Metazoa__Chordata__Aves__Passeriformes__Corvidae__NA__NA__Seq_136","139ff38d8eb60547dba8a13573cc4d1939382544","Seq_136"
"NA__NA__NA__NA__NA__NA__NA__Seq_137","b38245c0437c8dcd9f9333e4c4ab99a83aa8787a","Seq_137"
"NA__NA__NA__NA__NA__NA__NA__Seq_138","aeef90d9e99a45da1b57e61c1977a4566c19da06","Seq_138"
"NA__NA__NA__NA__NA__NA__NA__Seq_139","89a0a88ed54b9c8eccf0263419d2fb7e5f48dd88","Seq_139"
"NA__NA__NA__NA__NA__NA__NA__Seq_140","2fbcfe74a90096027997db4758117099a2c13cb8","Seq_140"
"Metazoa__Chordata__Aves__Anseriformes__Anatidae__NA__NA__Seq_141","c6e82808a88952d18f734d433ed33bce9aed4920","Seq_141"
"NA__NA__NA__NA__NA__NA__NA__Seq_142","f6fc19c127061219afeb8d02d4c983f61e387982","Seq_142"
"NA__NA__NA__NA__NA__NA__NA__Seq_143","8f90335084467c8c8bf662de1e70d054e0439671","Seq_143"
"NA__NA__NA__NA__NA__NA__NA__Seq_144","bc1b5d70e47b326b18a4d07c3aba7a82f53d6303","Seq_144"
"NA__NA__NA__NA__NA__NA__NA__Seq_145","9d8e2aad3b679722a4fedce005c2f55b810c3610","Seq_145"
"Metazoa__Chordata__Actinopteri__Perciformes__Cottidae__NA__NA__Seq_146","3342529986f8f5933a533bf1f2e975e9b677cb7b","Seq_146"
"NA__NA__NA__NA__NA__NA__NA__Seq_147","65f6e204e30982d55209e5e4291814ec311b470a","Seq_147"
"NA__NA__NA__NA__NA__NA__NA__Seq_148","04bfcf88f74ad1215e62dd59f87069ae41589f35","Seq_148"
"NA__NA__NA__NA__NA__NA__NA__Seq_149","34226b185eee7705ae792bd04e753076d58c2d64","Seq_149"
"NA__NA__NA__NA__NA__NA__NA__Seq_150","32881090bb3aabe783c24490b7011e5f05592108","Seq_150"
"Metazoa__Chordata__Aves__Anseriformes__Anatidae__NA__NA__Seq_151","24ce776b69c914f87600634ba6268479f370dc38","Seq_151"
"NA__NA__NA__NA__NA__NA__NA__Seq_152","0ba30327d55b234c0e177c91c41cba4ed45fd14e","Seq_152"
"Metazoa__Chordata__Mammalia__Rodentia__Sciuridae__NA__NA__Seq_153","c504c0e46cc73088d60a8306ac6b7247528b132b","Seq_153"
"NA__NA__NA__NA__NA__NA__NA__Seq_154","62d779f77dd9a6c80b357b722c604387baa8533c","Seq_154"
"NA__NA__NA__NA__NA__NA__NA__Seq_155","ba53600f3ad463671553c38e8c8ad2ca05187967","Seq_155"
"NA__NA__NA__NA__NA__NA__NA__Seq_156","9da453630c74e798223aa9fe61bc15e8fb0a3518","Seq_156"
"Metazoa__Chordata__Aves__Anseriformes__Anatidae__NA__NA__Seq_157","f40d338cb15a9b60552e1c3a92342fcef1f3a904","Seq_157"
"NA__NA__NA__NA__NA__NA__NA__Seq_158","253146501d8d0b1b07582c66e8f29c68173c5005","Seq_158"
"NA__NA__NA__NA__NA__NA__NA__Seq_159","6584397abbb1a719da61222a58dbf154c541f9b7","Seq_159"
"Metazoa__Chordata__Mammalia__Rodentia__Cricetidae__NA__NA__Seq_160","dd63054ec92248f49fb84b490c0647a7b5b814cd","Seq_160"
"NA__NA__NA__NA__NA__NA__NA__Seq_161","1fb1dbfc2986e50b5e3ae3e8ffe3aa14817badeb","Seq_161"
"NA__NA__NA__NA__NA__NA__NA__Seq_162","b364c7fd1693e7e6dc1dba719834cc39a537b2dc","Seq_162"
"NA__NA__NA__NA__NA__NA__NA__Seq_163","ccf032b931135ad144e382d2ece47a7006885187","Seq_163"
"NA__NA__NA__NA__NA__NA__NA__Seq_164","18b2479fd6956f60e739d14aa63c492b529e0102","Seq_164"
"NA__NA__NA__NA__NA__NA__NA__Seq_165","272a5f58261ced4115595269d144ed9a8b99d089","Seq_165"
"NA__NA__NA__NA__NA__NA__NA__Seq_166","fb21ef523541766b42bb7da452fbaa29cd82693f","Seq_166"
"NA__NA__NA__NA__NA__NA__NA__Seq_167","d79a10156a924230bc88c58044b180a779e9b0b6","Seq_167"
"NA__NA__NA__NA__NA__NA__NA__Seq_168","97cadc3478f8d71cdfbb867157a2da029a50d9bc","Seq_168"
"NA__NA__NA__NA__NA__NA__NA__Seq_169","6369565f70fbde6e3967a9b1934b890b67e09590","Seq_169"
"NA__NA__NA__NA__NA__NA__NA__Seq_170","d6364e0727a9f2f4d4b98301648b5a01145f0457","Seq_170"
"NA__NA__NA__NA__NA__NA__NA__Seq_171","1128791f77b5a2aad7718d88c8a4c0f4895c24e8","Seq_171"
"NA__NA__NA__NA__NA__NA__NA__Seq_172","56da0e4226e6baa58dce860456739ad8928b4a9e","Seq_172"
"Metazoa__Chordata__Aves__Passeriformes__NA__NA__NA__Seq_173","b81faad3bc3b3eb23d5e36b76cdfbb36fe04ccd2","Seq_173"
"NA__NA__NA__NA__NA__NA__NA__Seq_174","279945f2a1292a80d8c5a56edf6411b88fbb5aec","Seq_174"
"NA__NA__NA__NA__NA__NA__NA__Seq_175","f3c7ba67d11f99a5b46c7a027e5a9097e12dcbc6","Seq_175"
"NA__NA__NA__NA__NA__NA__NA__Seq_176","71018bad57e94a0f7c692fe51eabdeafdbff11e7","Seq_176"
"NA__NA__NA__NA__NA__NA__NA__Seq_177","622478f9e7ff5761c5cd5cea26e8e12eb7b53220","Seq_177"
"NA__NA__NA__NA__NA__NA__NA__Seq_178","a3f7f1a03c83c834c8f91c87e34feafe531993bb","Seq_178"
"NA__NA__NA__NA__NA__NA__NA__Seq_179","046f77f53c48916223b596858cfbbbeeb21f14a8","Seq_179"
"NA__NA__NA__NA__NA__NA__NA__Seq_180","34dd599612ce5435fdec7e682d4dd41ef2d69090","Seq_180"
"NA__NA__NA__NA__NA__NA__NA__Seq_181","13a82acd807823d01f54afd0c8374254abb46a15","Seq_181"
"NA__NA__NA__NA__NA__NA__NA__Seq_182","a584675156ac1c300e9bf4376fd0f969c73fe7b4","Seq_182"
"NA__NA__NA__NA__NA__NA__NA__Seq_183","fdbf4bad9b9a5b4c8f6c1ad7dc4623a7475780e8","Seq_183"
"NA__NA__NA__NA__NA__NA__NA__Seq_184","e7bff0894b43a498cab6d1e74f6bd5b1d2260c67","Seq_184"
"NA__NA__NA__NA__NA__NA__NA__Seq_185","be56ab038991b53c3745e808d8db708eccec4b09","Seq_185"
"NA__NA__NA__NA__NA__NA__NA__Seq_186","151592e39d113c86fe5c6a2cb1a705062518d0f3","Seq_186"
"NA__NA__NA__NA__NA__NA__NA__Seq_187","4f8c032d0044170d870557744bdf85d65d667a4c","Seq_187"
"NA__NA__NA__NA__NA__NA__NA__Seq_188","68d0a64c4ed698d83790ccbe6f117dea953986cc","Seq_188"
