"","NGN0277","NGN0278","NGN0279","NGN0280","NGN0281","NGN0282","NGN0283","NGN0284","NGN0285","NGN0286","NGN0287","NGN0288","NGN0289","NGN0290","NGN0291","NGN0292","NGN0293","NGN0294","NGN0295","NGN0296","NGN0297","NGN0298","NGN0300","NGN0301","NGN0360","NGN0361","NGN0362","NGN0363","NGN0364","NGN0365"
"Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA__Taxon_01",359,88,52,290,387,192,97,148,355,17,219,3294,1539,2904,0,4245,5662,182,109,341,84,3497,3753,0,478,140,122,1888,0,295
"Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Taxon_02",2781,4979,5653,1072,4861,1436,3414,873,2001,5855,2802,589,3227,0,0,31,1902,2500,0,235,613,164,11,0,929,1123,993,4961,5480,5682
"Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA__Taxon_03",123,0,0,0,0,0,0,0,0,0,0,814,553,1040,0,0,0,0,9,422,878,169,1577,0,116,0,6,0,0,0
"Metazoa__Chordata__Actinopteri__Perciformes__Cottidae__NA__NA__Taxon_04",718,738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,761,0,0,0,0,0,0,0,0,274
"Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA__Taxon_05",194,305,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,52,166,3115,0,0,0,0,0,0,0,0,0,64
"Metazoa__Chordata__Mammalia__Artiodactyla__Cervidae__NA__NA__Taxon_06",619,0,73,610,0,0,49,0,0,0,0,0,166,78,0,0,0,84,0,47,1201,0,0,0,0,0,0,0,92,4476
"Metazoa__Chordata__Mammalia__Carnivora__Canidae__NA__NA__Taxon_07",599,0,264,0,286,737,0,0,869,0,0,0,0,0,85,99,310,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Mammalia__Carnivora__Canidae__NA__NA__Taxon_08",1991,0,0,0,0,0,0,0,0,0,0,0,0,123,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,281
"Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Taxon_09",240,0,0,91,0,473,0,1059,497,0,0,0,854,258,0,0,0,0,0,0,0,0,0,0,744,0,0,0,0,0
"Metazoa__Chordata__Aves__NA__NA__NA__NA__Taxon_10",194,463,5,190,121,95,33,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,402,142,163,0,0,96
"Metazoa__Chordata__Mammalia__Rodentia__Muridae__Rattus__NA__Taxon_11",400,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,75,202,334,302,0,0,0,0,352,216,80,0,0
"Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Taxon_12",67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Actinopteri__NA__NA__NA__NA__Taxon_13",0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,51,0,0,0,0,0,0,0,0,49
"Metazoa__Chordata__Mammalia__Carnivora__Procyonidae__Procyon__NA__Taxon_14",0,66,0,0,0,0,0,0,0,56,212,0,0,0,0,0,0,874,51,247,0,3676,508,0,334,239,215,0,0,0
"Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA__Taxon_15",0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Taxon_16",0,145,158,1333,0,0,50,0,0,51,0,0,0,0,0,0,0,0,210,110,0,0,0,0,0,295,0,0,0,0
"Metazoa__Chordata__Mammalia__Lagomorpha__Leporidae__NA__NA__Taxon_17",0,0,120,0,0,0,0,0,0,0,0,46,0,0,0,0,0,47,57,0,0,0,0,0,0,0,0,0,0,1232
"Metazoa__Chordata__Actinopteri__Siluriformes__Ictaluridae__NA__NA__Taxon_18",0,0,37,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Mammalia__Didelphimorphia__Didelphidae__NA__NA__Taxon_19",0,0,0,378,0,2412,0,2583,1573,236,4093,0,0,0,0,0,0,0,0,0,0,0,0,0,8448,7601,407,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_20",0,0,717,49,300,663,1237,0,0,0,0,749,821,974,509,2908,262,174,0,56,0,12,0,0,0,335,0,3428,195,486
"Metazoa__Chordata__Amphibia__Caudata__Ambystomatidae__Ambystoma__NA__Taxon_21",0,0,287,3084,1147,1418,555,565,1530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
"Metazoa__Chordata__Mammalia__Rodentia__NA__NA__NA__Taxon_22",0,0,314,168,0,558,349,603,2001,940,818,375,526,81,0,0,0,286,1033,914,0,0,0,0,0,684,0,1716,0,210
"Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA__Taxon_23",0,0,0,25,54,0,0,43,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__NA__NA__NA__NA__NA__Taxon_24",0,0,3,96,0,0,0,123,0,0,0,137,52,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,81
"Metazoa__Chordata__Mammalia__Carnivora__Felidae__NA__NA__Taxon_25",0,0,0,0,295,0,0,334,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3778,0
"Metazoa__Chordata__Mammalia__Carnivora__Canidae__NA__NA__Taxon_26",0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Mammalia__Didelphimorphia__Didelphidae__NA__NA__Taxon_27",0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Actinopteri__Cypriniformes__Leuciscidae__NA__NA__Taxon_28",0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Aves__Passeriformes__NA__NA__NA__Taxon_29",0,0,0,0,0,0,43,0,0,0,0,0,327,0,0,0,0,0,0,47,636,0,238,0,0,0,0,0,0,0
"Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Taxon_30",0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Aves__Passeriformes__NA__NA__NA__Taxon_31",0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Amphibia__Caudata__Salamandridae__NA__NA__Taxon_32",0,0,0,0,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Mammalia__Carnivora__Canidae__NA__NA__Taxon_33",0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Aves__Galliformes__NA__NA__NA__Taxon_34",0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Aves__Passeriformes__NA__NA__NA__Taxon_35",0,0,0,0,0,0,0,0,0,0,0,162,102,249,0,0,9,0,0,0,75,0,8,0,0,0,0,0,0,0
"Metazoa__Chordata__Aves__Passeriformes__NA__NA__NA__Taxon_36",0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Taxon_37",0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Taxon_38",0,0,0,0,0,0,0,0,0,0,0,0,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,0,0
"Metazoa__Chordata__Aves__Passeriformes__NA__NA__NA__Taxon_39",0,0,0,0,0,0,0,0,0,0,0,0,29,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Mammalia__Eulipotyphla__Soricidae__NA__NA__Taxon_40",0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Aves__Passeriformes__NA__NA__NA__Taxon_41",0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,284,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Mammalia__Carnivora__Canidae__NA__NA__Taxon_42",0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Taxon_43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Taxon_44",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Metazoa__Chordata__Mammalia__Eulipotyphla__Soricidae__NA__NA__Taxon_45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Actinopteri__Perciformes__Gasterosteidae__NA__NA__Taxon_46",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2749,4121,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Actinopteri__Perciformes__Gasterosteidae__NA__NA__Taxon_47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,272,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA__Taxon_48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,148,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Mammalia__Carnivora__Canidae__NA__NA__Taxon_49",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,621,70,0,0,0,0,376,0,0,72
"Metazoa__Chordata__NA__NA__NA__NA__NA__Taxon_50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,223,0,3,16,0,57,0,0
"Metazoa__Chordata__Aves__Passeriformes__NA__NA__NA__Taxon_51",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Aves__NA__NA__NA__NA__Taxon_52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0
"Metazoa__Chordata__Mammalia__Eulipotyphla__Soricidae__NA__NA__Taxon_53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0
"Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Taxon_54",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8375,0,0,0,0,0,0
"Metazoa__Chordata__Mammalia__Diprotodontia__NA__NA__NA__Taxon_55",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410,0,0,0,0,0,0
"Metazoa__Chordata__Aves__Passeriformes__NA__NA__NA__Taxon_56",0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0,19,0
"Metazoa__Chordata__Mammalia__Didelphimorphia__Didelphidae__NA__NA__Taxon_57",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0
"Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Taxon_58",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0
"Metazoa__Chordata__NA__NA__NA__NA__NA__Taxon_59",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323,82,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
"Metazoa__Chordata__Aves__Passeriformes__NA__NA__NA__Taxon_61",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,80,0,0,0,0,0,0,0,0,0,191
"Metazoa__Chordata__Aves__Galliformes__NA__NA__NA__Taxon_62",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
