creek,station,day,month,year,time,pH,temp.C,DO.p,turb.ppm
Portage,downstream,10,3,2021,9:30,7.8,4.3,,18
Portage,upstream,10,3,2021,10:15,6.61,4.63,,22
Squalicum,downstream,10,3,2021,12:45,7.08,5.77,,25
Squalicum,upstream,10,3,2021,13:15,7.33,5.86,,23
Padden,downstream,10,3,2021,14:40,7.61,6.79,,30
Padden,upstream_11,10,3,2021,15:00,6.77,6.74,,29
Padden,upstream_5,10,3,2021,15:50,7.39,6.63,,28
Chuckanut,downstream,10,3,2021,16:30,7.96,6.27,,15
Chuckanut,upstream,10,3,2021,17:15,7.07,6.19,,14
Barnes,downstream,10,3,2021,17:50,7.13,5.98,,15
Barnes,upstream,10,3,2021,18:20,7.26,6.4,,
Portage,downstream,8,4,2021,9:30,5.22,6.61,,16
Portage,upstream,8,4,2021,10:55,4.74,6.66,,13
Squalicum,downstream,8,4,2021,16:30,4.9,7.38,,27
Squalicum,upstream,8,4,2021,16:30,4.97,7.48,,22
Padden,downstream,8,4,2021,14:30,4.89,9.43,,31
Padden,upstream_11,8,4,2021,15:30,4.95,9.55,,29
Padden,upstream_5,8,4,2021,15:45,4.93,9.73,,19
Chuckanut,downstream,8,4,2021,12:10,5.15,6.29,,
Chuckanut,upstream,8,4,2021,12:25,4.94,6.32,,11
Barnes,downstream,8,4,2021,11:05,4.85,5.78,,16
Barnes,upstream,8,4,2021,11:30,4.79,5.87,,32
Portage,downstream,10,5,2021,9:20,8.96,8.91,5.98,41
Portage,upstream,10,5,2021,9:45 AM,7.76,9.01,6.48,30
Squalicum,downstream,10,5,2021,15:30,6.59,11.13,6.81,36
Squalicum,upstream,10,5,2021,15:45,6.87,11.14,7.35,35
Padden,downstream,10,5,2021,14:00,6.48,14.2,7.36,30
Padden,upstream_11,10,5,2021,14:15,6.29,13.56,7.2,34
Padden,upstream_5,10,5,2021,14:45,6.74,13.49,7.14,31
Chuckanut,downstream,10,5,2021,11:45,6.97,9.76,8.57,25
Chuckanut,upstream,10,5,2021,12:00,6.95,9.81,10.22,19
Barnes,downstream,10,5,2021,10:45,7.16,9.53,5.11,28
Barnes,upstream,10,5,2021,11:15,6.9,8.48,9.48,40
Portage,downstream,11,6,2021,9:45,5.39,11.44,18.52,33
Portage,upstream,11,6,2021,10:15 AM,3.99,11.51,16.01,
Squalicum,downstream,11,6,2021,16:00,3.91,12.52,17.11,32
Squalicum,upstream,11,6,2021,16:15,4.55,12.77,17.29,32
Padden,downstream,11,6,2021,14:00,5.32,14.58,16.02,66
Padden,upstream_11,11,6,2021,14:15,5.27,13.02,16.49,64
Padden,upstream_5,11,6,2021,14:45,4.3,12.54,17,
Chuckanut,downstream,11,6,2021,12:15,5.74,11.16,14.45,36
Chuckanut,upstream,11,6,2021,12:30,5.62,11.58,15.01,31
Barnes,downstream,11,6,2021,11:15,5.34,11.71,14.32,38
Barnes,upstream,11,6,2021,11:45,5.34,10.36,14.46,44
Portage,downstream,12,7,2021,9:30,4.97,12.91,0.44,53
Portage,upstream,12,7,2021,9:45,4.89,12.67,0.81,53
Barnes,downstream,12,7,2021,10:45,5.73,14.87,,38
Barnes,upstream,12,7,2021,11:00,5.7,13.06,,46
Chuckanut,downstream,12,7,2021,11:30,6.2,14.94,2.23,75
Chuckanut,upstream,12,7,2021,12:00,6.51,15.66,2.68,61
Padden,downstream,12,7,2021,13:00,6.87,22.61,,75
Padden,upstream_11,12,7,2021,13:15,6.9,16.7,,74
Padden,upstream_5,12,7,2021,13:45,7.02,16.34,2.65,55
Squalicum,downstream,12,7,2021,14:30,7.06,15.83,2.62,108
Squalicum,upstream,12,7,2021,14:45,6.91,15.6,,69